Position,Const,Created,Modified,Description,Name,Known For,Birth Date
263,nm1349522,2018-07-09,2018-07-09,"4600 points","Jonathan Levine","50/50","June 18, 1976"
264,nm0603628,2018-07-06,2018-07-06,"4598 points","Pierre Morel","Banlieue 13","May 12, 1964"
265,nm0003160,2023-08-17,2023-08-17,"4591 points","Christopher McQuarrie","The Usual Suspects","October 25, 1968"
266,nm0138809,2018-07-05,2018-07-14,"4572 points","John Carney","Sing Street","1972"
267,nm0815070,2021-04-24,2023-05-10,"4550 points","Aaron Sorkin","The West Wing","June 9, 1961"
268,nm0466349,2018-07-10,2021-07-12,"4456 points","Baltasar Kormákur","Mýrin","February 27, 1966"
269,nm0000568,2018-06-17,2021-05-01,"4434 points","Frank Oz","The Muppet Show","May 25, 1944"
270,nm0001402,2018-06-12,2018-06-12,"4427 points","Terry Jones","The Meaning of Life","February 1, 1942"
271,nm0585011,2018-06-29,2024-08-18,"4380 points","Roger Michell","Notting Hill","June 5, 1956"
272,nm0000277,2018-06-11,2018-06-24,"4340 points","Richard Attenborough","Jurassic Park","August 29, 1923"
273,nm0400436,2018-07-08,2021-05-25,"4330 points","Albert Hughes","The Book of Eli","April 1, 1972"
274,nm0357891,2018-05-31,2018-06-07,"4329 points","Guy Hamilton","Live and Let Die","September 16, 1922"
275,nm0870469,2024-03-04,2024-03-04,"4298 points","Dan Trachtenberg","Prey","May 11, 1981"
276,nm0001415,2018-05-26,2018-05-28,"4266 points","Elia Kazan","On the Waterfront","September 7, 1909"
277,nm0448768,2024-04-22,2024-05-07,"4238 points","Jennifer Kent","The Nightingale","March 5, 1969"
278,nm0000600,2019-11-06,2024-05-24,"4200 points","Sam Raimi","Spider-Man","October 23, 1959"
279,nm0923736,2018-07-03,2018-07-03,"4151 points","Joss Whedon","Buffy the Vampire Slayer","June 23, 1964"
280,nm0002045,2018-05-27,2018-06-03,"4129 points","Stanley Donen","Charade","April 13, 1924"
281,nm0939182,2018-06-25,2018-07-06,"4089 points","Wong Kar-Wai","Yi dai zong shi","July 17, 1956"
282,nm1243905,2023-12-02,2023-12-02,"4086 points","Michael Gracey","Better Man",
283,nm1079062,2021-05-24,2021-05-26,"4051 points","Oriol Paulo","El cuerpo","July 30, 1975"
284,nm0908824,2021-07-14,2023-04-15,"4041 points","Randall Wallace","We Were Soldiers","July 28, 1949"
285,nm0836328,2018-05-30,2018-05-31,"4006 points","John Sturges","The Great Escape","January 3, 1910"
286,nm0231596,2018-07-05,2023-05-02,"3995 points","Andrew Dominik","Chopper","October 7, 1967"
287,nm0797869,2018-06-28,2018-07-03,"3978 points","Brad Silberling","City of Angels","September 8, 1963"
288,nm0711840,2021-08-27,2021-08-27,"3970 points","Brett Ratner","Red Dragon","March 28, 1969"
289,nm0431918,2021-10-13,2021-10-13,"3965 points","Mike Judge","Beavis and Butt-Head Do America","October 17, 1962"
290,nm0481418,2018-07-05,2024-02-06,"3933 points","Richard LaGravenese","Freedom Writers","October 30, 1959"
291,nm1026778,2018-11-25,2023-10-27,"3911 points","Brad Furman","The Lincoln Lawyer","June 8"
292,nm0000316,2018-06-09,2020-09-02,"3903 points","Mel Brooks","Spaceballs","June 28, 1926"
293,nm0934483,2024-02-21,2024-02-21,"3901 points","Kurt Wimmer","Equilibrium","March 9, 1964"
294,nm0000406,2018-05-21,2019-06-06,"3884 points","John Ford","The Quiet Man","February 1, 1894"
295,nm0715636,2018-07-06,2018-07-06,"3824 points","Peyton Reed","Ant-Man","July 3, 1964"
296,nm1630273,2018-07-06,2018-07-09,"3811 points","Phyllida Lloyd","Mamma Mia!","June 17, 1957"
297,nm0000126,2018-06-23,2018-07-02,"3770 points","Kevin Costner","The Postman","January 18, 1955"
298,nm0371890,2018-07-09,2018-07-09,"3762 points","Michel Hazanavicius","The Artist","March 29, 1967"
299,nm0001219,2018-06-28,2023-11-21,"3762 points","Gary Fleder","Things to Do in Denver When You're Dead","December 19, 1965"
300,nm0001425,2018-06-23,2018-06-25,"3699 points","Krzysztof Kieslowski","La double vie de Véronique","June 27, 1941"
301,nm0462895,2021-01-18,2022-07-08,"3692 points","David Koepp","Jurassic Park","June 9, 1963"
302,nm0721817,2019-04-19,2019-06-27,"3682 points","Kevin Reynolds","Waterworld","January 17, 1952"
303,nm0936404,2018-05-26,2018-06-01,"3667 points","Robert Wise","West Side Story","September 10, 1914"
304,nm0001130,2018-06-30,2025-03-01,"3663 points","Ted Demme","Blow","October 26, 1963"
305,nm1170855,2018-07-09,2018-07-12,"3626 points","J.C. Chandor","A Most Violent Year",
306,nm0074163,2023-03-05,2025-01-08,"3611 points","Edward Berger","Im Westen nichts Neues","March 6, 1970"
307,nm0950109,2018-05-31,2018-06-01,"3604 points","Terence Young","Dr. No","June 20, 1915"
308,nm0422484,2018-06-01,2018-06-29,"3567 points","Norman Jewison","Jesus Christ Superstar","July 21, 1926"
309,nm0577647,2018-07-12,2018-07-14,"3567 points","Theodore Melfi","Hidden Figures","October 27"
310,nm0738796,2018-07-01,2018-07-08,"3558 points","Mark Romanek","Never Let Me Go","September 18, 1959"
311,nm0004675,2018-12-30,2022-01-12,"3533 points","Phil Alden Robinson","Field of Dreams","March 1, 1950"
312,nm0001328,2018-05-20,2018-05-30,"3517 points","Howard Hawks","Red River","May 30, 1896"
313,nm0291205,2018-07-04,2018-07-04,"3497 points","David Frankel","The Devil Wears Prada","April 2, 1959"
314,nm0440913,2018-06-26,2018-07-02,"3475 points","Mathieu Kassovitz","Le fabuleux destin d'Amélie Poulain","August 3, 1967"
315,nm0229694,2018-07-12,2022-06-09,"3467 points","David Dobkin","The Judge","June 23, 1969"
316,nm0601619,2018-07-01,2018-07-03,"3465 points","Michael Moore","Bowling for Columbine","April 23, 1954"
317,nm0000265,2018-06-03,2020-09-30,"3463 points","Robert Altman","Gosford Park","February 20, 1925"
318,nm0001878,2018-07-02,2020-08-19,"3440 points","David Zucker","Airplane!","October 16, 1947"
319,nm0945026,2024-04-27,2024-04-27,"3432 points","Boaz Yakin","Fresh","June 20, 1965"
320,nm0322515,2018-06-14,2018-06-18,"3387 points","John Glen","For Your Eyes Only","May 15, 1932"
321,nm1128037,2018-07-12,2023-10-23,"3356 points","Ruben Östlund","Triangle of Sadness","April 13, 1974"
322,nm0001789,2018-06-01,2019-03-07,"3353 points","Andrei Tarkovsky","Offret","April 4, 1932"
323,nm0267287,2024-06-06,2025-01-08,"3345 points","Coralie Fargeat","Revenge","November 24, 1976"
324,nm0002077,2021-01-01,2023-07-12,"3328 points","Dexter Fletcher","Ghosted","January 31, 1966"
325,nm0796923,2018-05-28,2018-06-12,"3310 points","Don Siegel","Dirty Harry","October 26, 1912"
326,nm0233757,2018-07-07,2018-07-07,"3307 points","Jaco Van Dormael","Mr. Nobody","February 9, 1957"
327,nm0138620,2018-07-09,2018-07-09,"3278 points","Joe Carnahan","Smokin' Aces","May 9, 1969"
328,nm0281945,2018-07-07,2018-07-07,"3275 points","Anne Fletcher","The Proposal","May 1, 1966"
329,nm0276062,2018-07-01,2023-05-02,"3271 points","Todd Field","Tár","February 24"
330,nm0751080,2018-06-25,2018-06-25,"3249 points","Chuck Russell","The Scorpion King","May 9, 1958"
331,nm1503575,2018-07-14,2018-07-14,"3247 points","Barry Jenkins","If Beale Street Could Talk","November 19, 1979"
332,nm0001239,2018-05-31,2018-06-28,"3226 points","John Frankenheimer","The Manchurian Candidate","February 19, 1930"
333,nm0345174,2018-12-18,2024-12-08,"3226 points","Luca Guadagnino","Challengers","August 10, 1971"
334,nm1294961,2020-03-16,2020-03-16,"3189 points","Michael Spierig","Predestination",
335,nm1294962,2020-03-16,2020-03-16,"3189 points","Peter Spierig","Predestination",
336,nm0848414,2018-06-30,2023-05-04,"3174 points","Lee Tamahori","Once Were Warriors","April 22, 1950"
337,nm0294379,2023-10-26,2023-10-26,"3137 points","Juan Carlos Fresnadillo","Damsel","December 5, 1967"
338,nm0594503,2018-06-27,2018-06-27,"3113 points","Hayao Miyazaki","Sen to Chihiro no kamikakushi","January 5, 1941"
339,nm0001112,2018-06-24,2018-06-28,"3111 points","Andrew Davis","The Fugitive","November 21, 1946"
340,nm0831557,2019-12-29,2019-12-29,"3075 points","Nicholas Stoller","The Muppets","March 19, 1976"
341,nm0432627,2019-07-06,2019-07-06,"3060 points","Gil Junger","10 Things I Hate About You","November 7"
342,nm0005190,2018-06-23,2018-07-08,"3056 points","Garry Marshall","A League of Their Own","November 13, 1934"
343,nm0919369,2018-07-08,2018-07-08,"3024 points","Paul Weitz","About a Boy","November 19, 1965"
344,nm0518836,2018-07-14,2018-07-14,"3018 points","Kenneth Lonergan","Manchester by the Sea","October 16, 1962"
345,nm0649117,2018-07-07,2018-07-07,"3009 points","Niels Arden Oplev","Män som hatar kvinnor","March 26, 1961"
346,nm0103785,2021-06-19,2021-06-19,"3001 points","Zach Braff","Garden State","April 6, 1975"
347,nm0000134,2018-07-04,2019-01-05,"2988 points","Robert De Niro","Cape Fear","August 17, 1943"
348,nm0001175,2018-05-30,2018-05-31,"2985 points","Blake Edwards","The Pink Panther Strikes Again","July 26, 1922"
349,nm0001348,2018-06-06,2020-10-08,"2963 points","Werner Herzog","Fitzcarraldo","September 5, 1942"
350,nm0220600,2018-07-06,2018-07-10,"2962 points","Scott Derrickson","The Black Phone","July 16, 1966"
351,nm1079776,2024-01-29,2024-01-29,"2954 points","George Nolfi","The Bourne Ultimatum",
352,nm1767218,2024-07-23,2024-07-23,"2939 points","Lee Toland Krieger","The Age of Adaline","January 24, 1983"
353,nm0655683,2018-07-05,2024-05-06,"2918 points","José Padilha","Tropa de Elite","August 1, 1967"
354,nm1191481,2024-08-26,2024-08-26,"2892 points","Leigh Whannell","Saw","January 17, 1977"
355,nm0834902,2018-07-12,2018-07-12,"2887 points","Robert Stromberg","Avatar",
356,nm2308774,2021-08-16,2024-02-13,"2884 points","Destin Daniel Cretton","Shang-Chi and the Legend of the Ten Rings","November 23, 1978"
357,nm0467646,2018-11-23,2018-11-23,"2883 points","Ted Kotcheff","Weekend at Bernie's","April 7, 1931"
358,nm0200005,2018-07-07,2018-07-11,"2878 points","Lee Daniels","Precious","December 24, 1959"
359,nm0853380,2018-07-01,2018-07-05,"2853 points","Julie Taymor","Frida","December 15, 1952"
360,nm0082450,2018-07-09,2018-07-09,"2839 points","Paul Feig","Ghostbusters","September 17, 1962"
361,nm0000243,2018-07-14,2024-03-09,"2809 points","Denzel Washington","Fences","December 28, 1954"
362,nm3613566,2024-07-11,2024-07-11,"2790 points","Yeon Sang-ho","Busanhaeng",
363,nm0335138,2018-07-08,2024-04-17,"2781 points","Debra Granik","Winter's Bone","February 6, 1963"
364,nm1092087,2023-07-01,2023-07-01,"2750 points","Sam Hargrave","Extraction",
365,nm0000602,2018-06-13,2019-01-02,"2748 points","Robert Redford","The Natural","August 18, 1936"
366,nm0453518,2018-07-02,2024-04-15,"2748 points","Kim Jee-woon","Joeun nom, napun nom, esanghan nom","July 6, 1964"
367,nm0001587,2018-06-10,2019-06-04,"2743 points","Alan J. Pakula","Sophie's Choice","April 7, 1928"
368,nm1322753,2024-03-10,2024-03-10,"2697 points","Sam Esmail","Mr. Robot","September 17, 1977"
369,nm0000816,2018-06-23,2018-07-06,"2692 points","Jon Avnet","Fried Green Tomatoes","November 17, 1949"
370,nm0769874,2018-06-03,2018-06-07,"2688 points","Franklin J. Schaffner","Planet of the Apes","May 30, 1920"
371,nm0536632,2018-06-30,2018-06-30,"2687 points","Sharon Maguire","Bridget Jones's Baby","November 28, 1960"
372,nm1793079,2025-01-08,2025-01-08,"2650 points","Fede Alvarez","Alien: Romulus","February 9, 1978"
373,nm0000720,2020-08-19,2020-08-19,"2641 points","Jim Abrahams","Airplane!","May 10, 1944"
374,nm0004303,2018-07-06,2023-08-15,"2640 points","Gavin Hood","Official Secrets","May 12, 1963"
375,nm0330687,2018-07-11,2018-07-11,"2640 points","Joseph Gordon-Levitt","Inception","February 17, 1981"
376,nm0002728,2018-07-07,2018-07-07,"2629 points","Juan José Campanella","El secreto de sus ojos","July 19, 1959"
377,nm0000694,2018-06-16,2024-07-09,"2613 points","Wim Wenders","Der Himmel über Berlin","August 14, 1945"
378,nm0751577,2023-03-05,2023-03-05,"2612 points","Anthony Russo","Everything Everywhere All at Once","February 3, 1970"
379,nm0204628,2018-07-14,2018-07-14,"2610 points","Garth Davis","Lion","December 2, 1973"
380,nm0281508,2018-07-11,2018-07-11,"2598 points","Ruben Fleischer","Zombieland","October 31, 1974"
381,nm0001681,2018-06-02,2020-10-13,"2585 points","George A. Romero","Land of the Dead","February 4, 1940"
382,nm0528718,2019-04-04,2022-11-13,"2568 points","Jonathan Lynn","Clue","April 3, 1943"
383,nm0001353,2018-06-12,2023-09-11,"2560 points","Walter Hill","48 Hrs.","January 10, 1942"
384,nm0276349,2018-07-04,2022-02-13,"2554 points","Shane Meadows","This Is England","December 26, 1972"
385,nm0254178,2019-03-09,2019-03-09,"2549 points","Adam Elliot","Mary and Max.","January 2, 1972"
386,nm0000934,2018-06-06,2018-07-02,"2545 points","Bernardo Bertolucci","Il conformista","March 16, 1941"
387,nm0000915,2018-06-22,2025-01-16,"2540 points","Bruce Beresford","Driving Miss Daisy","August 16, 1940"
388,nm0919363,2018-07-01,2021-09-10,"2535 points","Chris Weitz","About a Boy","November 30, 1969"
389,nm0617130,2025-01-20,2025-01-20,"2535 points","Daniel Myrick","The Blair Witch Project","September 3, 1963"
390,nm0812200,2018-06-30,2018-06-30,"2506 points","Iain Softley","Backbeat","1958"
391,nm0005303,2018-06-29,2018-07-11,"2506 points","Kimberly Peirce","Boys Don't Cry","September 8, 1967"
392,nm0318150,2018-06-01,2018-06-12,"2503 points","Lewis Gilbert","Alfie","March 6, 1920"
393,nm0001338,2019-04-28,2019-04-28,"2492 points","Brian Helgeland","Finestkind","January 17"
394,nm0001408,2019-04-10,2023-05-06,"2490 points","Shekhar Kapur","Elizabeth","December 6, 1945"
395,nm0000581,2018-05-26,2018-06-06,"2466 points","Joseph L. Mankiewicz","All About Eve","February 11, 1909"
396,nm1167933,2018-07-12,2018-07-12,"2464 points","Damián Szifron","Relatos salvajes","July 9, 1975"
397,nm1259871,2021-02-06,2022-06-10,"2456 points","John Crowley","Brooklyn","August 19, 1969"
398,nm0715346,2018-05-25,2018-05-25,"2455 points","Carol Reed","The Third Man","December 30, 1906"
399,nm1093039,2024-02-24,2024-02-24,"2443 points","Mike Flanagan","The Life of Chuck","May 20, 1978"
400,nm0174374,2018-07-04,2023-10-02,"2439 points","Bill Condon","Dreamgirls","October 22, 1955"
401,nm0004234,2023-11-23,2023-11-23,"2419 points","Alfonso Gomez-Rejon","Me and Earl and the Dying Girl",
402,nm2942187,2023-11-22,2023-11-22,"2409 points","Darius Marder","Sound of Metal",
403,nm0000824,2018-06-11,2024-11-09,"2398 points","John Badham","WarGames","August 25, 1939"
404,nm0708903,2018-07-09,2018-12-20,"2393 points","Lynne Ramsay","We Need to Talk About Kevin","December 5, 1969"
405,nm0000076,2018-05-30,2018-06-01,"2392 points","François Truffaut","La nuit américaine","February 6, 1932"
406,nm0000362,2018-06-22,2022-08-27,"2369 points","Danny DeVito","Matilda","November 17, 1944"
407,nm0459170,2018-06-12,2018-06-12,"2368 points","Randal Kleiser","Grease","July 20, 1946"
408,nm0269463,2018-07-12,2018-07-12,"2357 points","Jon Favreau","Chef","October 19, 1966"
409,nm0379179,2018-07-07,2018-07-07,"2346 points","Mark Herman","The Boy in the Striped Pajamas","1954"
410,nm0590122,2018-07-08,2023-11-06,"2334 points","Mike Mills","Beginners","1966"
411,nm1720541,2023-12-17,2023-12-17,"2334 points","David Slade","Hard Candy","September 26, 1969"
412,nm0142286,2021-12-18,2021-12-18,"2309 points","D.J. Caruso","I Am Number Four","January 17, 1965"
413,nm0304521,2018-06-30,2018-07-04,"2284 points","Christophe Gans","Le pacte des loups","March 11, 1960"
414,nm1560977,2018-07-09,2021-04-26,"2283 points","Cary Joji Fukunaga","Beasts of No Nation","July 10, 1977"
415,nm0770942,2018-07-05,2018-07-05,"2277 points","Richard Schenkman","The Man from Earth","March 6"
416,nm0049371,2018-07-05,2018-07-05,"2273 points","Jaume Balagueró","[Rec]","November 2, 1968"
417,nm0687042,2018-07-05,2018-07-05,"2273 points","Paco Plaza","[Rec]","1973"
418,nm2155757,2020-02-09,2020-02-09,"2257 points","Josh Cooley","Toy Story 4",
419,nm0254786,2018-07-02,2018-07-03,"2244 points","David R. Ellis","The Matrix Reloaded","September 8, 1952"
420,nm0002653,2023-01-15,2023-05-17,"2239 points","Joe Johnston","Captain America: The First Avenger","May 13, 1950"
421,nm0525659,2018-07-06,2018-07-06,"2237 points","Robert Luketic","The Ugly Truth","November 1, 1973"
422,nm0065615,2018-07-02,2018-07-02,"2214 points","Wolfgang Becker","Good Bye Lenin!","June 22, 1954"
423,nm1099918,2024-12-04,2025-01-08,"2212 points","Jeremy Saulnier","Rebel Ridge","June 10, 1976"
424,nm0000127,2018-09-25,2018-09-25,"2197 points","Wes Craven","A Nightmare on Elm Street","August 2, 1939"
425,nm0190780,2022-06-13,2022-06-13,"2196 points","Gabor Csupo","Rugrats","September 29, 1952"
426,nm2391575,2020-10-03,2021-07-03,"2194 points","David Michôd","The King",
427,nm0792263,2018-08-24,2018-08-24,"2192 points","Taylor Sheridan","Hell or High Water","July 17, 1969"
428,nm0431918,2024-09-17,2024-09-17,"2179 points","Mike Judge","Beavis and Butt-Head Do America","October 17, 1962"
429,nm2125482,2021-09-13,2021-09-13,"2177 points","Chloé Zhao","Nomadland","March 31, 1982"
430,nm0005436,2022-04-26,2022-04-26,"2175 points","John Singleton","Boyz n the Hood","January 6, 1968"
431,nm0772259,2018-06-03,2018-06-10,"2171 points","John Schlesinger","Midnight Cowboy","February 16, 1926"
432,nm0442241,2018-06-16,2020-08-31,"2171 points","Philip Kaufman","The Right Stuff","October 23, 1936"
433,nm0001437,2018-06-24,2018-06-28,"2138 points","Emir Kusturica","Arizona Dream","November 24, 1954"
434,nm0001120,2018-05-23,2018-05-23,"2128 points","Vittorio De Sica","Ladri di biciclette","July 7, 1901"
435,nm0000149,2018-07-09,2024-08-22,"2128 points","Jodie Foster","The Silence of the Lambs","November 19, 1962"
436,nm0002191,2018-07-07,2018-07-10,"2125 points","Jacques Audiard","Emilia Pérez","April 30, 1952"
437,nm0815204,2018-07-11,2018-07-13,"2116 points","Paolo Sorrentino","È stata la mano di Dio","May 31, 1970"
438,nm0742341,2018-06-01,2018-06-01,"2111 points","Stuart Rosenberg","Cool Hand Luke","August 11, 1927"
439,nm0003638,2018-05-17,2021-04-13,"2106 points","F.W. Murnau","Sunrise: A Song of Two Humans","December 28, 1888"
440,nm0000797,2018-06-05,2018-06-12,"2103 points","Hal Ashby","In the Heat of the Night","September 2, 1929"
441,nm0001005,2018-06-24,2022-02-09,"2100 points","Jane Campion","Bright Star","April 30, 1954"
442,nm0442109,2018-07-07,2022-06-23,"2099 points","Charlie Kaufman","I'm Thinking of Ending Things","November 19, 1958"
443,nm0829038,2018-05-31,2018-05-31,"2096 points","Robert Stevenson","Mary Poppins","March 31, 1905"
444,nm0048918,2019-04-20,2025-01-08,"2091 points","Sean Baker","Red Rocket","February 26"
445,nm0835799,2018-07-08,2018-07-08,"2073 points","Mel Stuart","Willy Wonka & the Chocolate Factory","September 2, 1928"
446,nm0262595,2021-04-25,2021-04-25,"2068 points","Bruce A. Evans","Stand by Me","September 19, 1946"
447,nm0019242,2018-07-07,2018-07-07,"2067 points","Daniel Alfredson","Flickan som lekte med elden","May 23, 1959"
448,nm0163706,2020-12-23,2020-12-23,"2067 points","Bob Clark","A Christmas Story","August 5, 1939"
449,nm0451148,2018-07-05,2018-07-05,"2062 points","Aamir Khan","Dangal","March 14, 1965"
450,nm0019247,2018-07-06,2018-07-06,"2058 points","Tomas Alfredson","Tinker Tailor Soldier Spy","April 1, 1965"
451,nm1580671,2023-03-30,2023-09-05,"2056 points","Jon S. Baird","Filth","November 1972"
452,nm2782185,2018-07-10,2018-07-10,"2028 points","Rupert Sanders","Snow White and the Huntsman","March 16, 1971"
453,nm0006854,2018-06-27,2018-06-27,"2027 points","Roger Spottiswoode","48 Hrs.","January 5, 1945"
454,nm0006452,2018-05-30,2018-06-01,"2022 points","Stanley Kramer","Judgment at Nuremberg","September 29, 1913"
455,nm0003593,2018-05-27,2018-05-27,"2017 points","Fred Zinnemann","A Man for All Seasons","April 29, 1907"
456,nm0886976,2018-07-11,2023-09-10,"2004 points","Felix van Groeningen","Beautiful Boy","November 1, 1977"
457,nm3229507,2024-07-23,2024-07-23,"1984 points","Olivia Newman","Where the Crawdads Sing",
458,nm0771054,2018-07-07,2018-07-07,"1955 points","Lone Scherfig","An Education","May 2"
459,nm0567620,2018-07-12,2019-01-31,"1955 points","John Michael McDonagh","The Guard","1967"
460,nm0781842,2018-07-06,2018-07-06,"1910 points","Peter Segal","Naked Gun 33 1/3: The Final Insult","April 20, 1962"
461,nm0141961,2021-06-29,2021-06-29,"1901 points","Thomas Carter","Coach Carter","July 17, 1953"
462,nm0002339,2018-07-08,2018-07-08,"1891 points","Allen Coulter","Remember Me",
463,nm0179221,2018-07-06,2018-07-12,"1889 points","Anton Corbijn","Control","May 20, 1955"
464,nm0158966,2018-07-08,2018-07-08,"1889 points","Lisa Cholodenko","The Kids Are All Right","June 5, 1964"
465,nm0001093,2018-06-28,2018-06-28,"1875 points","John Dahl","The Last Seduction","June 15, 1956"
466,nm1093053,2023-04-26,2023-04-26,"1869 points","Brian Percival","The Book Thief",
467,nm0111845,2018-07-06,2018-07-06,"1854 points","Adam Brooks","Definitely, Maybe","September 3"
468,nm0240797,2024-08-13,2024-08-13,"1845 points","Dennis Dugan","Happy Gilmore","September 5, 1946"
469,nm1883257,2018-07-14,2023-11-03,"1838 points","Pablo Larraín","No","August 19, 1976"
470,nm0444244,2018-07-11,2018-07-11,"1824 points","Abdellatif Kechiche","La vie d'Adèle","December 7, 1960"
471,nm0297935,2023-07-03,2023-07-03,"1813 points","Kinji Fukasaku","Batoru rowaiaru","July 3, 1930"
472,nm0002030,2018-05-21,2018-05-31,"1808 points","George Cukor","My Fair Lady","July 7, 1899"
473,nm0788234,2018-07-06,2018-07-06,"1808 points","John Patrick Shanley","Moonstruck","October 3, 1950"
474,nm0001603,2018-06-03,2018-06-05,"1807 points","Sam Peckinpah","The Wild Bunch","February 21, 1925"
475,nm0001723,2024-04-07,2024-04-07,"1807 points","Tom Shadyac","The Nutty Professor","December 11, 1958"
476,nm1104118,2018-07-02,2018-07-03,"1804 points","Kim Ki-duk","Binjip","December 20, 1960"
477,nm0000958,2018-06-06,2021-02-07,"1802 points","John Boorman","Hope and Glory","January 18, 1933"
478,nm1140275,2018-07-11,2018-07-11,"1798 points","Steven Knight","Serenity","August 5, 1959"
479,nm0625458,2018-06-30,2018-06-30,"1796 points","Jessie Nelson","I Am Sam","June 2"
480,nm0001508,2018-06-23,2019-07-11,"1778 points","Penny Marshall","Laverne & Shirley","October 15, 1943"
481,nm0193508,2018-07-09,2018-07-13,"1777 points","Simon Curtis","Goodbye Christopher Robin","March 11, 1960"
482,nm0001401,2018-07-29,2018-07-29,"1767 points","Angelina Jolie","Maleficent","June 4, 1975"
483,nm0000914,2018-06-12,2018-06-12,"1760 points","Robert Benton","Kramer vs. Kramer","September 29, 1932"
484,nm0490487,2018-07-01,2018-07-01,"1740 points","Wai Keung Lau","Mou gaan dou","April 4, 1960"
485,nm1969144,2024-03-11,2024-03-11,"1739 points","Gene Stupnitsky","The Office","August 26, 1977"
486,nm0773603,2018-07-05,2018-07-05,"1731 points","Julian Schnabel","Before Night Falls","October 26, 1951"
487,nm3232264,2022-11-12,2022-11-12,"1726 points","Reinaldo Marcus Green","King Richard","December 16, 1981"
488,nm0000200,2024-05-05,2024-05-07,"1723 points","Bill Paxton","Aliens","May 17, 1955"
489,nm0138927,2018-07-01,2023-05-06,"1709 points","Niki Caro","Whale Rider","September 20, 1966"
490,nm0920274,2018-07-08,2018-07-11,"1708 points","John Wells","The Company Men","May 28, 1956"
491,nm0420941,2018-07-02,2018-07-02,"1702 points","Patty Jenkins","Wonder Woman","July 24, 1971"
492,nm1290515,2021-05-25,2021-05-25,"1674 points","Antonio Campos","The Staircase","August 24, 1983"
493,nm0001994,2019-04-14,2023-09-02,"1667 points","Michael Caton-Jones","Memphis Belle","October 15, 1957"
494,nm0436284,2023-06-29,2023-06-29,"1662 points","Scott Kalvert","The Basketball Diaries","August 15, 1964"
495,nm0322242,2018-07-11,2024-03-23,"1660 points","Jonathan Glazer","Under the Skin","March 26, 1965"
496,nm2947553,2019-04-04,2022-04-02,"1655 points","Na Hong-jin","Chugyeokja","1974"
497,nm0389591,2018-06-28,2020-05-24,"1653 points","P.J. Hogan","Muriel's Wedding","November 30, 1962"
498,nm0000736,2018-05-31,2018-06-01,"1648 points","Robert Aldrich","Emperor of the North Pole","August 9, 1918"
499,nm0300866,2018-07-03,2018-07-03,"1632 points","Stephen Gaghan","Syriana","May 6, 1965"
500,nm0959062,2018-06-30,2018-06-30,"1603 points","Terry Zwigoff","Ghost World","May 18, 1949"
501,nm0187769,2018-06-20,2018-06-20,"1598 points","Charles Crichton","A Fish Called Wanda","August 6, 1910"
502,nm0181902,2018-06-24,2018-06-24,"1597 points","George P. Cosmatos","Rambo: First Blood Part II","January 4, 1941"
503,nm0167241,2018-05-27,2018-05-28,"1594 points","Henri-Georges Clouzot","Le salaire de la peur","November 20, 1907"
504,nm0423646,2018-06-16,2021-01-01,"1585 points","Roland Joffé","The Mission","November 17, 1945"
505,nm0421314,2018-07-03,2024-01-06,"1580 points","Anders Thomas Jensen","Retfærdighedens ryttere","April 6, 1972"
506,nm0006846,2024-08-21,2024-08-21,"1575 points","Ric Roman Waugh","Shot Caller","February 20"
507,nm1108007,2021-12-20,2024-11-22,"1574 points","David Lowery","A Ghost Story","December 26, 1980"
508,nm0405632,2018-07-03,2020-12-02,"1566 points","Mikael Håfström","Ondskan","July 1, 1960"
509,nm1725469,2021-08-30,2021-08-30,"1553 points","Florian Zeller","The Father","June 28, 1979"
510,nm0951975,2021-12-19,2023-11-11,"1547 points","S. Craig Zahler","Bone Tomahawk","January 23, 1973"
511,nm0935095,2018-07-03,2018-07-03,"1545 points","Gary Winick","Tadpole","March 31, 1961"
512,nm1168657,2018-07-02,2023-04-30,"1504 points","Andrey Zvyagintsev","Nelyubov","February 6, 1964"
513,nm0075666,2024-03-11,2024-03-11,"1504 points","Joe Berlinger","Paradise Lost: The Child Murders at Robin Hood Hills","October 30, 1961"
514,nm0104193,2024-07-17,2024-07-17,"1504 points","Marco Brambilla","Heaven's Gate","1960"
515,nm0001843,2018-05-18,2018-05-20,"1496 points","James Whale","The Bride of Frankenstein","July 22, 1889"
516,nm0001214,2018-06-26,2018-06-26,"1493 points","Mike Figgis","Leaving Las Vegas","February 28, 1948"
517,nm3519173,2022-02-09,2022-02-09,"1493 points","Nora Fingscheidt","Systemsprenger","February 17, 1983"
518,nm0001915,2018-11-14,2018-11-14,"1492 points","Emile Ardolino","Dirty Dancing","May 9, 1943"
519,nm0438090,2018-07-09,2018-07-13,"1491 points","Asif Kapadia","The Warrior","1972"
520,nm0000036,2018-05-17,2021-04-16,"1489 points","Buster Keaton","The General","October 4, 1895"
521,nm0792202,2018-07-05,2018-07-05,"1489 points","Kirsten Sheridan","In America","July 14, 1976"
522,nm0322144,2018-07-12,2018-07-12,"1483 points","Richard Glatzer","Still Alice","January 28, 1952"
523,nm0863387,2018-06-30,2018-06-30,"1482 points","George Tillman Jr.","The Hate U Give","January 26, 1969"
524,nm0000829,2025-01-19,2025-01-19,"1470 points","Stuart Baird","Skyfall","January 14, 1947"
